	frame	subF	slot	1stSym	symbol#	cellId	rnti	tbSize	mcs	rv	SINR(dB)	corrupt	TBler	bwpId
UL	68	3	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	68	3	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	68	7	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	68	9	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	68	9	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	69	3	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	69	5	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
UL	69	5	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
UL	70	1	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	70	1	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	70	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	70	7	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	70	7	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	71	1	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	71	3	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
UL	71	3	0	0	13	1	1	359	28	0	66.7726		0 	0 	1
DL	71	7	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	71	9	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	71	9	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	72	3	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	72	5	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	72	5	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	72	9	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	73	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	73	1	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
DL	73	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	73	7	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	73	7	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	74	1	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	74	3	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	74	3	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	74	7	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	74	9	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	74	9	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	75	3	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	75	5	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	75	5	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	75	9	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	76	1	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	76	1	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	76	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	76	7	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	76	7	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	77	1	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	77	3	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	77	3	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	77	7	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	77	9	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
UL	77	9	0	0	13	1	1	1447	28	0	60.9397		0 	0 	1
DL	78	3	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	78	5	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	78	5	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	78	9	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	79	1	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	79	1	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	79	5	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	79	7	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
UL	79	7	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
DL	80	1	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	80	4	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	80	4	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	80	8	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	81	0	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
UL	81	0	0	0	13	1	1	3980	28	0	56.9372		0 	0 	1
DL	81	4	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	81	6	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
UL	81	6	0	0	13	1	1	1085	28	0	62.1268		0 	0 	1
DL	82	0	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	82	2	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	82	2	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	82	6	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	82	8	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	82	8	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	83	2	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	83	4	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	83	4	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	83	8	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	84	0	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	84	0	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	84	4	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	84	6	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
UL	84	6	0	0	13	1	1	2170	28	0	59.3002		0 	0 	1
DL	85	0	0	1	13	1	1	359	28	0	46.9319	0	0	0
UL	85	2	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
UL	85	2	0	0	13	1	1	2895	28	0	58.1658		0 	0 	1
DL	85	6	0	1	13	1	1	359	28	0	46.9319	0	0	0
